2014-10-27 12:19:07,;.?40434900745,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40434900745', 1, 24, 'USB3 TEST', 'NG',133.8,'b 01 OK20x , NG 3 4 ', 1, 650033) 
2014-10-27 22:31:53,;.?40485805516,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40485805516', 1, 9, 'Key2 Test', 'NG',3.5,'Key Check , i 01 NG92x', 1, 650033) 
2014-10-27 22:32:36,;.?40485805516,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40485805516', 1, 5, '[TV] TV check', 'NG/V', 100.0, 0.0, -50.0, 50.0, '400, 400, X, X','396,396,924,918', 28.5, 'Good:70.5 | Error:0.21/1.30/0.076/0.156/27.751 , [A/OK]', 1, 650033) 
2014-10-27 22:36:43,;.?40485805517,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40485805517', 1, 5, '[TV] TV check', 'NG/V', -90.4, 0.0, -50.0, 50.0, '400, 400, X, X','396,396,942,937', 8.5, 'Good:88.5 | Error:0.07/0.37/0.073/0.580/10.400 , [A/OK]', 1, 650033) 
2014-10-27 23:06:12,;.?40425500889,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40425500889', 1, 9, 'Key2 Test', 'NG',13.5,'Key Check , i 01 NG92x', 1, 650033) 
2014-10-28 10:30:54,;.?40490600077,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600077', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','396,0,110,3',44.6,'s 01 OK50x , [A/NG]', 1, 650033) 
2014-10-28 10:35:19,;.?40490600082,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600082', 1, 24, 'USB3 TEST', 'NG',24.7,'b 01 OK20x , NG 3 2 ', 1, 650033) 
2014-10-28 10:36:04,;.?40490600082,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600082', 1, 24, 'USB3 TEST', 'NG',6.7,'b 01 OK20x , NG 3 2 ', 1, 650033) 
2014-10-28 11:44:46,;.?40490600155,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600155', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','0,0,2,2',1885.3,'s 01 OK50x , [A/NG]', 1, 650033) 
2014-10-28 12:16:09,;.?40490600200,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600200', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','0,396,3,111',45.8,'s 01 OK50x , [A/NG]', 1, 650033) 
2014-10-28 13:49:38,;.?40490600135,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600135', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','0,0,8,7',69.9,'s 01 OK50x , [A/NG]', 1, 650033) 
